en,es
I'm being forced to do that.,Me están forzando a hacer esto.
Didn't you see the stoplight was red?,¿No has visto que estaba en rojo el semáforo?
Tom crosses this bridge at least once a week.,Tom cruza este puente al menos una vez a la semana.
Tom has a date with Mary this afternoon.,Tom tiene una cita con María esta tarde.
Let's get you fixed up with a drink.,Vayamos a conseguirte una bebida.
He lived a happy life.,Él vivió una vida feliz.
I don't speak Swedish.,No hablo sueco.
We have to forget it ever happened.,Tenemos que olvidarnos que alguna vez sucedió.
You'd be amazed how many apples you can buy for two hundred dollars.,Te sorprenderías si supieras cuántas manzanas puedes comprar por doscientos dólares.
I was at home.,Estaba en casa.
"If you know what's good for you, you'll quit doing that.",Dejarás de hacer eso si sabes lo que es bueno para ti.
We'll see.,Veremos.
Has Tom told Mary that he can't speak French at all?,¿Le ha dicho Tom a Mary que no puede hablar francés para nada?
Congress finally approved Wilson's proposals.,El Congreso finalmente aprobó las propuestas de Wilson.
What you said surprised me.,Me sorprendió lo que dijiste.
Tom died in his seventies.,Tom murió en sus setentas.
I like the beach.,Me gusta la playa.
Nobody did that.,Nadie lo hizo.
He saved money for the trip.,Ahorró dinero para el viaje.
I begin tomorrow.,Comienzo mañana.
I understand how to solve the problem.,Entiendo cómo resolver el problema.
Mary was deeply affected by her husband's death.,Mary quedó profundamente afectada por la muerte de su marido.
Where did I put my car keys?,¿Dónde puse las llaves del coche?
How was your day?,¿Cómo estuvo tu día?
You look younger than Tom.,Luces más joven que Tom.
Where do you want it delivered?,¿Adónde lo quiere despachar?
I want to lose weight.,Quiero adelgazar.
Tom has what he wants.,Tom tiene lo que quiere.
I demanded that he pay the bill immediately.,Le pedí que pagara la cuenta inmediatamente.
He wrote a lot of stories.,Él escribió muchas historias.
Tom will eventually give up.,Al final Tom se rendirá.
I know your father.,Conozco a tu padre.
I meant it as a joke.,No lo dije en serio.
I have a mission to accomplish.,Tengo una misión por cumplir.
Why doesn't she love me anymore?,¿Por qué ya no me ama?
These clothes are not appropriate for a cold winter day.,Esta ropa no es adecuada para un día frío de invierno.
Tom didn't have the courage to tell Mary that he had made a mistake.,Tom no tenía el coraje de decirle a Mary que él había cometido un error.
It's more than just that.,Es más que solo eso.
An elephant is an enormous animal.,Un elefante es un animal enorme.
I found you.,Ya te encontré.
How long do you want to do it?,¿Cuánto tiempo quieres hacerlo?
He is my father.,Él es mi padre.
I'm sure you'll tell me what I need to know.,Estoy seguro de que me dirás lo que necesito saber.
It is high time you spilled the beans.,Ya era hora de que soltaras la lengua.
I won't tell anyone.,No se lo diré a nadie.
I had been up all night trying to finish the presentation.,He estado toda la noche levantado tratando de terminar la presentación.
This is really cool.,Esto es genial.
I just want you to go away.,Solo quiero verte lejos.
Please don't mumble.,"No murmures, por favor."
I was afraid of Tom.,Tom me daba miedo.
Either they don't want to or they can't.,"O no quieren, o no pueden."
"That happens a lot, doesn't it?","Eso pasa mucho, ¿no es cierto?"
Can you do it alone?,¿Puedes hacerlo tú solo?
I've decided to do that by myself.,He decidido hacerlo sola.
Tom and Mary live in separate states.,Tom y Mary viven en estados diferentes.
It is said that women live longer than men.,Dicen que las mujeres viven más que los hombres.
Mary has just come home.,Mary acaba de llegar a casa.
Tom complains all the time.,Tom se queja todo el rato.
"Tom is outside, pulling weeds.",Tom está fuera arrancando malas hierbas.
"Tom is still in the hospital, isn't he?","Tom todavía está en el hospital, ¿no?"
I want to dye my hair red.,Quiero teñirme el pelo de rojo.
I'm just saying we can't leave yet.,Sólo digo que no podemos irnos todavía.
Mary is my older sister.,Mary es mi hermana mayor.
Breakfast is ready.,El desayuno está listo.
I don't have a favorite song.,No tengo ninguna canción preferida.
Why don't you listen to me?,¿Por qué no me escuchas?
I scribbled down his address in the back of my diary.,Garabateé su dirección en el dorso de mi diario.
Oil and water won't blend with each other.,El aceite no se mezcla con el agua.
"It's warm today, isn't it?","Hoy hace calor, ¿cierto?"
I didn't go to the market.,No fui al mercado.
"In spite of our encouragement, he decided to throw in the towel.","A pesar de nuestro apoyo, decidió tirar la toalla."
I love the beaches in Australia.,Me encantan las playas en Australia.
Let's measure how tall you are.,Veamos cuánto mides.
He was about to apologize when the man punched him in the face.,Él iba a disculparse cuando el hombre le pegó un puñetazo en la cara.
Don't lecture me.,No me riñas.
He played with his cat.,Él jugaba con su gato.
I didn't think I'd meet you here.,No creo que le vaya a encontrar allí.
It was extremely weird.,Fue extremadamente extraño.
Why are you doing this?,¿Por qué están haciendo esto?
When did you arrive?,¿Cuándo has llegado?
It's not necessarily so.,No necesariamente es así.
I'd like to thank you.,Quisiera darte las gracias.
Who was that girl?,¿Quién era esa chica?
I'm almost always on time.,Casi siempre soy puntual.
You're not holding your knife quite right.,No sujetas el cuchillo del todo bien.
We saw the tower in the distance.,Veíamos la torre en la distancia.
I can hardly understand what he says.,Apenas puedo entender lo que dice.
Tom couldn't help thinking about Mary.,Tom no podía evitar pensar en Mary.
Are you for or against his idea?,¿Ustedes están a favor o en contra de su idea?
It was you that was responsible for the accident.,Tú fuiste el responsable del accidente.
It's my brother's.,Es de mi hermano.
I don't want to stay here.,No quiero quedarme acá.
You ought to work hard regardless of your income.,Tú debes trabajar duro sin tener en cuenta tus ingresos.
I can't live that kind of life.,No puedo vivir esa clase de vida.
Can you make out a light in the distance?,¿Distingue usted a lo lejos una luz?
It's not my job.,No es mi trabajo.
He has a book.,Él tiene un libro.
The house is beautiful.,La casa es preciosa.
I think I'm in love with her.,Creo que estoy enamorado de ella.
It's beyond reason.,Está más allá de la razón.
I have no idea who Tom's wife is.,No tengo idea quién es la esposa de Tom.
I like crossword puzzles.,Me gustan los crucigramas.
I need a smoke.,Necesito un cigarrillo.
Tom is not serious about his studies.,Tom no es serio con sus estudios.
She used to hate him.,Antes ella lo detestaba.
They must have been tired.,Ellos deben haber estado cansados.
He began running.,Él empezó a correr.
I don't know what you mean.,No sé qué quieres decir.
Nobody even listens to me.,Ni siquiera me escucha nadie.
"I don't know what that word means, but I'll try to find out.","No se qué significa esa palabra, pero trataré de averiguarlo."
I didn't lie to you.,No te mentí.
Tom treated Mary like a maid.,Tom trataba a Mary como a una sirvienta.
Is she the lady who was dressed in blue?,¿Ella es la dama que estaba vestida de azul?
My box is twice as heavy as yours.,Mi caja es el doble de pesada que la tuya.
Tom told everyone he was adopted.,Tom le dijo a todos que era adoptado.
I need to protect myself.,Necesito protegerme.
They didn't even know who they were supposed to meet.,Ellos ni siquiera sabían con quien se suponía que se reunirían.
I slept a little during lunch break because I was so tired.,Dormí un rato en el descanso del almuerzo porque estaba muy cansado.
Don't distract me while I am studying.,No me distraigas cuando estoy estudiando.
He's a tycoon.,Es un gran hombre de negocios.
The problem was where to eat lunch.,El problema era dónde almorzar.
Mary's dress is drying in the sun.,El vestido de María se está secando al sol.
You're not invincible.,No sos invencible.
Quite a few people couldn't recognize him in that disguise.,Bastantes personas no pudieron reconocerlo con ese disfraz.
They won't understand.,No lo entenderán.
I'm still thinking.,Todavía estoy pensando.
You have to leave Boston.,Tienes que abandonar Boston.
Isn't it enough?,¿No es suficiente?
Do you want to share it?,¿Querés compartirlo?
No way!,¡De eso nada!
Can you solve this problem?,¿Puede resolver este problema?
The bus hasn't come yet.,El autobús todavía no ha llegado.
Tom needs to return this book by tomorrow evening.,Tom necesita devolver este libro para mañana en la noche.
I want another chance.,Quiero otra oportunidad.
What's the most famous college in the world?,¿Cuál es la universidad más famosa del mundo?
I added water.,Añadí agua.
What's the best Christmas present you've ever received?,¿Cuál es el mejor regalo de Navidad que has recibido nunca?
It's easy to make and it's cheap.,Es fácil de hacer y barato.
Mary is a very busy woman.,Mary es una mujer muy ocupada.
This is the only way to get Tom to stop.,Esta es la única forma de hacer que Tom se detenga.
She is afraid of death.,Le tiene miedo a la muerte.
So long.,Hasta la vista.
This hat suits me nicely.,Este sombrero me queda bien.
The jury is hung.,El jurado está en desacuerdo.
I'm the one that convinced Tom to try to do that.,Yo soy quien convenció a Tom para que tratara de hacer eso.
They make a great team.,Hacen un gran equipo.
She was idly looking out of the window.,Ella estaba sin hacer nada mirando por la ventana.
She's not a child.,Ella no es una niña.
Tom thinks it's pretty good.,Tom piensa que está muy bueno.
Why didn't you tell me that Tom was here?,¿Por qué no me dijiste que Tom estaba acá?
I have an appointment with the professor at 1:30.,Tengo una cita con el profesor a la 1:30.
Is it happening right now?,¿Está ocurriendo justo ahora?
Why would I do that?,¿Por qué habría de hacer eso?
What is this letter?,¿Cuál es esta letra?
I'm almost thirty.,Casi tengo treinta años.
Your father's supporters are not limited to his friends.,Los aliados de tu padre no son solamente sus amigos.
How long did Tom work here?,¿Cuánto tiempo trabajó aquí Tom?
Tom is a good musician.,Tom es un buen músico.
Her hair is dry.,Ella tiene el cabello seco.
Tom is a widower.,Tom es viudo.
I compared this picture with that picture.,Comparé esta imagen con esa imagen.
Could you give me a few more minutes?,¿Podría darme algunos minutos más?
Draw a small circle.,Traza un pequeño círculo.
He is too sensitive.,Es demasiado sensible.
The president and his entourage were injured.,El presidente y su séquito fueron heridos.
